journal,year,month,volume,issue,meta_analysis,lit_review,syst_review,comp_review,phylo_review
Journal of Experimental Biology,2021,January,224,1,0,1,0,0,0
Journal of Experimental Biology,2021,January,224,2,0,1,0,0,0
Journal of Experimental Biology,2021,February,224,3,0,1,0,0,0
Journal of Experimental Biology,2021,February,224,4,0,1,0,0,0
Journal of Experimental Biology,2021,February,224,Suppl_1,2,8,1,1,1
Journal of Experimental Biology,2021,March,224,5,0,0,0,0,0
Journal of Experimental Biology,2021,March,224,6,0,1,0,0,0
Journal of Experimental Biology,2021,April,224,7,0,1,0,0,0
Journal of Experimental Biology,2021,April,224,8,0,2,0,0,0
Journal of Experimental Biology,2021,May,224,9,0,1,0,0,0
Journal of Experimental Biology,2021,May,224,10,0,2,0,0,0
Journal of Experimental Biology,2020,January,223,1,0,1,0,1,0
Journal of Experimental Biology,2020,January,223,2,0,0,0,0,0
Journal of Experimental Biology,2020,February,223,3,0,1,0,0,0
Journal of Experimental Biology,2020,February,223,Suppl_1,0,5,0,1,2
Journal of Experimental Biology,2020,February,223,4,0,1,0,0,0
Journal of Experimental Biology,2020,March,223,5,0,2,0,0,0
Journal of Experimental Biology,2020,March,223,6,0,0,0,0,0
Journal of Experimental Biology,2020,April,223,7,0,1,0,0,0
Journal of Experimental Biology,2020,April,223,8,0,0,0,0,1
Journal of Experimental Biology,2020,May,223,9,0,0,0,0,0
Journal of Experimental Biology,2020,May,223,10,0,1,0,0,0
Journal of Experimental Biology,2020,June,223,11,0,1,0,0,0
Journal of Experimental Biology,2020,June,223,12,0,1,0,0,0
Journal of Experimental Biology,2020,July,223,13,0,1,0,0,0
Journal of Experimental Biology,2020,July,223,14,0,1,0,0,0
Journal of Experimental Biology,2020,August,223,15,0,1,0,0,0
Journal of Experimental Biology,2020,August,223,16,0,1,0,0,0
Journal of Experimental Biology,2020,September,223,17,0,2,0,0,0
Journal of Experimental Biology,2020,September,223,18,0,0,0,0,0
Journal of Experimental Biology,2020,October,223,19,0,0,0,0,1
Journal of Experimental Biology,2020,October,223,20,0,1,0,0,0
Journal of Experimental Biology,2020,November,223,21,0,1,0,0,0
Journal of Experimental Biology,2020,November,223,22,0,1,0,0,0
Journal of Experimental Biology,2020,December,223,23,0,1,0,0,0
Journal of Experimental Biology,2020,December,223,24,0,0,0,1,0
Journal of Experimental Biology,2019,January,222,1,0,1,0,0,0
Journal of Experimental Biology,2019,January,222,2,0,1,0,0,0
Journal of Experimental Biology,2019,February,222,3,0,1,0,0,0
Journal of Experimental Biology,2019,February,222,Suppl_1,0,7,0,0,0
Journal of Experimental Biology,2019,February,222,4,0,1,0,0,0
Journal of Experimental Biology,2019,March,222,5,0,0,0,0,0
Journal of Experimental Biology,2019,March,222,6,0,0,0,0,0
Journal of Experimental Biology,2019,April,222,7,0,1,0,1,0
Journal of Experimental Biology,2019,April,222,8,0,0,1,0,0
Journal of Experimental Biology,2019,May,222,9,0,0,0,0,0
Journal of Experimental Biology,2019,May,222,10,0,0,0,0,0
Journal of Experimental Biology,2019,June,222,11,0,1,0,0,0
Journal of Experimental Biology,2019,June,222,12,0,1,0,0,0
Journal of Experimental Biology,2019,July,222,13,0,1,0,0,0
Journal of Experimental Biology,2019,July,222,14,0,0,0,0,0
Journal of Experimental Biology,2019,August,222,15,0,1,0,1,0
Journal of Experimental Biology,2019,August,222,16,0,1,0,0,0
Journal of Experimental Biology,2019,September,222,17,0,0,0,0,0
Journal of Experimental Biology,2019,September,222,18,0,1,0,0,0
Journal of Experimental Biology,2019,October,222,19,0,0,0,0,0
Journal of Experimental Biology,2019,October,222,20,0,1,0,0,0
Journal of Experimental Biology,2019,November,222,21,0,0,0,0,0
Journal of Experimental Biology,2019,November,222,22,0,0,0,0,0
Journal of Experimental Biology,2019,December,222,23,0,0,0,1,0
Journal of Experimental Biology,2019,December,222,24,0,0,0,0,0
Journal of Experimental Biology,2018,January,221,1,0,1,0,2,1
Journal of Experimental Biology,2018,January,221,2,0,2,0,0,0
Journal of Experimental Biology,2018,February,221,3,0,2,0,0,1
Journal of Experimental Biology,2018,February,221,4,0,1,0,0,0
Journal of Experimental Biology,2018,March,221,5,1,0,0,0,0
Journal of Experimental Biology,2018,March,221,Suppl_1,0,10,0,1,0
Journal of Experimental Biology,2018,March,221,6,0,2,0,0,0
Journal of Experimental Biology,2018,April,221,7,0,0,0,1,0
Journal of Experimental Biology,2018,April,221,8,0,1,0,0,0
Journal of Experimental Biology,2018,May,221,9,0,0,0,0,0
Journal of Experimental Biology,2018,May,221,10,0,1,0,1,0
Journal of Experimental Biology,2018,June,221,11,0,3,0,0,0
Journal of Experimental Biology,2018,June,221,12,0,0,0,2,0
Journal of Experimental Biology,2018,July,221,13,0,4,0,0,0
Journal of Experimental Biology,2018,July,221,14,0,1,0,1,0
Journal of Experimental Biology,2018,August,221,15,0,0,0,0,0
Journal of Experimental Biology,2018,August,221,16,0,1,0,0,0
Journal of Experimental Biology,2018,September,221,17,0,0,0,0,0
Journal of Experimental Biology,2018,September,221,18,0,0,0,0,0
Journal of Experimental Biology,2018,October,221,19,0,1,0,0,0
Journal of Experimental Biology,2018,October,221,20,0,0,0,0,0
Journal of Experimental Biology,2018,November,221,21,0,1,0,0,0
Journal of Experimental Biology,2018,November,221,22,0,1,0,0,0
Journal of Experimental Biology,2018,December,221,23,0,1,0,0,1
Journal of Experimental Biology,2018,December,221,24,0,0,0,1,0
Journal of Experimental Biology,2014,January,217,1,0,14,0,1,0
Journal of Experimental Biology,2014,January,217,2,0,1,0,0,0
Journal of Experimental Biology,2014,February,217,3,0,0,1,0,0
Journal of Experimental Biology,2014,February,217,4,0,0,0,0,0
Journal of Experimental Biology,2014,March,217,5,0,5,0,0,0
Journal of Experimental Biology,2014,March,217,6,0,0,0,0,0
Journal of Experimental Biology,2014,April,217,7,0,2,0,0,0
Journal of Experimental Biology,2014,April,217,8,0,1,0,0,0
Journal of Experimental Biology,2014,May,217,9,0,0,0,0,0
Journal of Experimental Biology,2014,May,217,10,0,1,0,0,0
Journal of Experimental Biology,2014,June,217,11,0,0,0,0,0
Journal of Experimental Biology,2014,June,217,12,0,1,0,0,0
Journal of Experimental Biology,2014,July,217,13,0,0,0,0,0
Journal of Experimental Biology,2014,July,217,14,0,0,0,0,0
Journal of Experimental Biology,2014,August,217,15,0,0,0,0,0
Journal of Experimental Biology,2014,August,217,16,0,3,0,0,0
Journal of Experimental Biology,2014,September,217,17,0,0,0,0,0
Journal of Experimental Biology,2014,September,217,18,0,0,0,0,0
Journal of Experimental Biology,2014,October,217,19,0,0,0,0,0
Journal of Experimental Biology,2014,October,217,20,0,0,0,0,0
Journal of Experimental Biology,2014,November,217,21,0,0,0,0,0
Journal of Experimental Biology,2014,November,217,22,0,0,0,0,0
Journal of Experimental Biology,2014,December,217,23,0,0,0,0,0
Journal of Experimental Biology,2014,December,217,24,0,0,0,0,0
Journal of Experimental Biology,2015,January,218,1,0,17,0,0,0
Journal of Experimental Biology,2015,January,218,2,0,1,0,0,0
Journal of Experimental Biology,2015,February,218,3,0,0,0,0,0
Journal of Experimental Biology,2015,February,218,4,0,12,0,0,0
Journal of Experimental Biology,2015,March,218,5,0,1,0,0,0
Journal of Experimental Biology,2015,March,218,6,0,1,0,0,0
Journal of Experimental Biology,2015,April,218,7,0,1,0,0,0
Journal of Experimental Biology,2015,April,218,8,0,0,0,1,0
Journal of Experimental Biology,2015,May,218,9,0,1,0,0,0
Journal of Experimental Biology,2015,May,218,10,0,0,0,0,0
Journal of Experimental Biology,2015,June,218,11,0,0,0,0,0
Journal of Experimental Biology,2015,June,218,12,0,15,0,0,0
Journal of Experimental Biology,2015,July,218,13,0,0,0,0,0
Journal of Experimental Biology,2015,July,218,14,0,0,0,0,0
Journal of Experimental Biology,2015,August,218,15,0,0,0,0,0
Journal of Experimental Biology,2015,August,218,16,0,0,0,0,0
Journal of Experimental Biology,2015,September,218,17,0,0,0,0,0
Journal of Experimental Biology,2015,September,218,18,0,0,0,0,0
Journal of Experimental Biology,2015,October,218,19,0,0,0,0,0
Journal of Experimental Biology,2015,October,218,20,0,1,0,0,0
Journal of Experimental Biology,2015,November,218,21,0,0,0,0,0
Journal of Experimental Biology,2015,November,218,22,0,0,0,0,0
Journal of Experimental Biology,2015,December,218,23,0,0,0,0,0
Journal of Experimental Biology,2015,December,218,24,0,0,0,0,0
Journal of Experimental Biology,2016,January,219,1,0,0,0,0,0
Journal of Experimental Biology,2016,January,219,2,0,19,0,0,0
Journal of Experimental Biology,2016,February,219,3,0,0,0,0,0
Journal of Experimental Biology,2016,February,219,4,0,0,0,0,0
Journal of Experimental Biology,2016,March,219,5,1,0,0,1,0
Journal of Experimental Biology,2016,March,219,6,0,0,0,0,0
Journal of Experimental Biology,2016,April,219,7,0,2,0,0,0
Journal of Experimental Biology,2016,April,219,8,0,1,0,0,0
Journal of Experimental Biology,2016,May,219,9,0,1,0,0,0
Journal of Experimental Biology,2016,May,219,10,0,1,0,0,0
Journal of Experimental Biology,2016,June,219,11,0,1,0,0,0
Journal of Experimental Biology,2016,June,219,12,0,1,0,0,0
Journal of Experimental Biology,2016,July,219,13,0,1,0,0,0
Journal of Experimental Biology,2016,July,219,14,0,1,0,0,0
Journal of Experimental Biology,2016,August,219,15,0,2,0,0,0
Journal of Experimental Biology,2016,August,219,16,0,1,0,0,0
Journal of Experimental Biology,2016,September,219,17,0,2,0,0,0
Journal of Experimental Biology,2016,September,219,18,0,2,0,0,0
Journal of Experimental Biology,2016,October,219,19,0,1,0,0,0
Journal of Experimental Biology,2016,October,219,20,0,2,0,0,0
Journal of Experimental Biology,2016,November,219,21,0,0,0,0,0
Journal of Experimental Biology,2016,November,219,22,0,2,0,0,0
Journal of Experimental Biology,2016,December,219,23,0,2,0,0,0
Journal of Experimental Biology,2016,December,219,24,0,2,0,0,0
Journal of Experimental Biology,2017,January,220,1,0,12,0,0,1
Journal of Experimental Biology,2017,January,220,2,0,2,0,0,1
Journal of Experimental Biology,2017,February,220,3,0,0,0,0,0
Journal of Experimental Biology,2017,February,220,4,0,1,0,0,0
Journal of Experimental Biology,2017,March,220,5,0,1,0,0,0
Journal of Experimental Biology,2017,March,220,6,0,0,0,0,0
Journal of Experimental Biology,2017,April,220,7,0,1,0,0,0
Journal of Experimental Biology,2017,April,220,8,0,2,0,0,0
Journal of Experimental Biology,2017,May,220,9,0,0,0,0,0
Journal of Experimental Biology,2017,May,220,10,0,2,0,0,0
Journal of Experimental Biology,2017,June,220,11,0,1,0,0,0
Journal of Experimental Biology,2017,June,220,12,0,1,0,0,0
Journal of Experimental Biology,2017,July,220,13,0,2,0,0,0
Journal of Experimental Biology,2017,July,220,14,0,2,0,0,0
Journal of Experimental Biology,2017,August,220,15,0,1,0,0,0
Journal of Experimental Biology,2017,August,220,16,0,2,0,0,0
Journal of Experimental Biology,2017,September,220,17,0,1,0,0,0
Journal of Experimental Biology,2017,September,220,18,0,0,0,0,0
Journal of Experimental Biology,2017,October,220,19,0,0,0,0,0
Journal of Experimental Biology,2017,October,220,20,0,0,0,0,0
Journal of Experimental Biology,2017,November,220,21,0,2,0,0,0
Journal of Experimental Biology,2017,November,220,22,0,0,0,0,0
Journal of Experimental Biology,2017,December,220,23,0,4,0,0,0
Journal of Experimental Biology,2017,December,220,24,0,1,0,0,0
Conservation Physiology,2014,,2,1,1,6,3,0,0
Conservation Physiology,2015,,3,1,0,5,1,0,0
Conservation Physiology,2016,,4,1,1,4,0,0,0
Conservation Physiology,2017,,5,1,0,9,1,0,0
Conservation Physiology,2018,,6,1,0,3,1,0,0
Conservation Physiology,2019,,7,1,1,10,0,0,0
Conservation Physiology,2020,,8,1,1,4,0,1,1
Conservation Physiology,2021,,9,1,0,2,2,1,0
Journal of Experimental Botany,2014,January,65,1,0,2,0,0,0
Journal of Experimental Botany,2014,February,65,2,0,4,0,0,0
Journal of Experimental Botany,2014,March,65,3,0,8,0,0,0
Journal of Experimental Botany,2014,March,65,4,0,2,0,0,0
Journal of Experimental Botany,2014,March,65,5,0,11,0,0,0
Journal of Experimental Botany,2014,April,65,6,0,2,0,0,0
Journal of Experimental Botany,2014,April,65,7,0,16,0,0,0
Journal of Experimental Botany,2014,May,65,8,0,8,0,0,0
Journal of Experimental Botany,2014,June,65,9,0,1,0,0,0
Journal of Experimental Botany,2014,June,65,10,0,17,0,0,0
Journal of Experimental Botany,2014,June,65,11,0,9,0,0,0
Journal of Experimental Botany,2014,July,65,12,0,1,0,0,0
Journal of Experimental Botany,2014,July,65,13,0,11,0,2,0
Journal of Experimental Botany,2014,July,65,14,0,10,0,0,0
Journal of Experimental Botany,2014,August,65,15,0,2,0,0,0
Journal of Experimental Botany,2014,August,65,16,0,12,0,0,0
Journal of Experimental Botany,2014,September,65,17,0,2,0,0,0
Journal of Experimental Botany,2014,October,65,18,0,2,0,0,0
Journal of Experimental Botany,2014,October,65,19,0,16,0,0,0
Journal of Experimental Botany,2014,November,65,20,0,3,0,0,0
Journal of Experimental Botany,2014,November,65,21,0,5,0,0,0
Journal of Experimental Botany,2014,December,65,22,0,3,0,0,0
Journal of Experimental Botany,2015,January,66,1,0,4,0,0,0
Journal of Experimental Botany,2015,February,66,2,0,7,1,0,0
Journal of Experimental Botany,2015,February,66,3,0,2,0,0,0
Journal of Experimental Botany,2015,February,66,4,0,9,0,0,0
Journal of Experimental Botany,2015,March,66,5,0,1,0,0,0
Journal of Experimental Botany,2015,March,66,6,0,11,0,0,0
Journal of Experimental Botany,2015,April,66,7,0,4,0,0,0
Journal of Experimental Botany,2015,April,66,8,0,11,0,0,0
Journal of Experimental Botany,2015,May,66,9,0,4,0,0,0
Journal of Experimental Botany,2015,May,66,10,0,11,0,0,0
Journal of Experimental Botany,2015,June,66,11,0,1,0,0,0
Journal of Experimental Botany,2015,June,66,12,0,12,0,0,0
Journal of Experimental Botany,2015,July,66,13,0,0,0,0,0
Journal of Experimental Botany,2015,July,66,14,0,8,0,0,0
Journal of Experimental Botany,2015,August,66,15,0,0,0,0,0
Journal of Experimental Botany,2015,August,66,16,0,14,0,0,0
Journal of Experimental Botany,2015,August,66,17,0,5,0,0,0
Journal of Experimental Botany,2015,September,66,18,0,4,0,0,0
Journal of Experimental Botany,2015,September,66,19,0,3,0,0,0
Journal of Experimental Botany,2015,September,66,20,0,2,0,0,0
Journal of Experimental Botany,2015,November,66,21,0,2,0,0,0
Journal of Experimental Botany,2015,December,66,22,0,3,0,0,0
Journal of Experimental Botany,2016,January,67,1,0,3,0,0,0
Journal of Experimental Botany,2016,January,67,2,0,8,0,0,0
Journal of Experimental Botany,2016,February,67,3,0,3,0,0,0
Journal of Experimental Botany,2016,February,67,4,0,3,0,0,0
Journal of Experimental Botany,2016,March,67,5,0,2,0,0,0
Journal of Experimental Botany,2016,March,67,6,0,3,0,0,0
Journal of Experimental Botany,2016,March,67,7,0,5,0,0,0
Journal of Experimental Botany,2016,April,67,8,0,0,0,0,0
Journal of Experimental Botany,2016,April,67,9,0,3,0,0,0
Journal of Experimental Botany,2016,May,67,10,0,10,0,1,0
Journal of Experimental Botany,2016,May,67,11,0,2,0,0,0
Journal of Experimental Botany,2016,June,67,12,0,5,0,0,0
Journal of Experimental Botany,2016,June,67,13,0,7,0,0,1
Journal of Experimental Botany,2016,July,67,14,0,4,1,0,0
Journal of Experimental Botany,2016,August,67,15,0,3,0,0,0
Journal of Experimental Botany,2016,August,67,16,0,5,0,0,0
Journal of Experimental Botany,2016,September,67,17,0,2,0,0,0
Journal of Experimental Botany,2016,October,67,18,0,1,0,0,0
Journal of Experimental Botany,2016,October,67,19,0,0,0,0,0
Journal of Experimental Botany,2016,October,67,20,0,3,0,0,0
Journal of Experimental Botany,2016,November,67,21,0,1,0,0,1
Journal of Experimental Botany,2016,December,67,22,0,3,0,0,0
Journal of Experimental Botany,2017,January,68,1,0,14,0,0,0
Journal of Experimental Botany,2017,January,68,2,0,2,0,0,1
Journal of Experimental Botany,2017,January,68,3,0,2,0,0,1
Journal of Experimental Botany,2017,February,68,4,0,9,0,0,0
Journal of Experimental Botany,2017,February,68,5,0,0,0,0,0
Journal of Experimental Botany,2017,March,68,6,0,6,0,0,0
Journal of Experimental Botany,2017,March,68,7,0,1,0,0,0
Journal of Experimental Botany,2017,April,68,8,0,7,0,1,0
Journal of Experimental Botany,2017,April,68,9,0,5,0,0,0
